Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
Portland State University,Portland,OR,48°/36°,62°/43°,81°/56°,64°/46°,156,146
Reed College,Portland,OR,48°/36°,62°/43°,81°/56°,81°/56°,156,146
Sarah Lawrence College,Bronxville,NY,38°/25°,62°/43°,85°/67°,65°/48°,121,200
Wagner College,Staten Island,NY,39°/25°,62°/43°,85°/68°,65°/48°,117,206
Stevens Institute of Technology,Hoboken,NJ,39°/25°,62°/44°,86°/68°,65°/48°,115,220
Cooper Union for the Advancement of Science and Art,New York,NY,39°/26,62°/44°,85°/69°,65°/50°,116,232
University of Denver,Denver,CO,47°/18°,63°/35°,89°/59°,66°/36°,83,245
University of Nevada-Reno,Reno,NV,45°/24°,63°/35°,91°/56°,68°/38°,51,252
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,37°/21°,63°/39°,84°/63°,64°/43°,137.3,162
Denison University,Granville,OH,36°/20°,63°/39°,84°/62°,65°/41°,128,175
Illinois Wesleyan University,Bloomington,IL,33°/15°,63°/39°,86°/63°,65°;/41°,105,194
Illinois State University,Normal,IL,33°/15°,63°/39°,86°/63°,66°/41°,107,195
Carnegie Mellon University,Pittsburgh,PA,37°/21°,63°/40°,84°/63°,64°/43°,140,160
Duquesne University,Pittsburgh,PA,37°/21°,63°/40°,84°/63°,64°/43°,140,160
DePauw University,Greencastle,IN,35°/18°,63°/40°,85°/63°,65°/42°,111,187
Knox College,Galesburg,IL,31°/14°,63°/40°,84°/64°,64°/42°,111,193
Bradley University,Peoria,IL,33°/16°,63°/40°,86°/64°,65°/42°,110,194
University of Illinois at Urbana-Champaign,Champaign,IL,33°/17°,63°/40°,84°/64°,65°/42°,111,194
Millersville University of Pennsylvania,Millersville,PA,38°/21°,63°/40°,85°/64°,65°/43°,122,194
Gettysburg College,Gettysburg,PA,39°/21°,63°/40°,` 86°/63°,65°/42°,119,19
University of Iowa,Iowa City,IA,30°/13°,63°/40°,85°/64°,64°/41°,98,196
Elizabethtown College,Elizabethtown,PA,37°/21°,63°/40°,85°/64°,65°/43°,121,197
Truman State University,Kirksville,MO,34°/15°,63°/40°,86°/65°,64°/42°,98,200
Franklin and Marshall College,Lancaster,PA,38°/21°,63°/40°,85°/64°,65°/43°,122,202
Ursinus College,Collegeville,PA,38°/21°,63°/40°,86°/64°,65°/42°,111,204
Rutgers University-New Brunswick,New Brunswick,NJ,40°/22°,63°/40°,86°/65°,66°/43°,117,208
University of Dayton,Dayton,OH,36°/21°,63°/42°,85°/65°,65°/45°,129,176
University of San Francisco,San Francisco,CA,57°/44°,63°/48°,67°/54°,69°/53°,79,260
San Francisco State University,San Francisco,CA,57°/46°,63°/50°,67°/55°,69°/54°,68,260
Rowan University,Glassboro,NJ,41°/24°,64°/`42°,87°/66°,66° /46°,116,116
University of Northern Colorado,Greeley,CO,44°/15°,64°/33°,90°/57°,66°/34°,77,244
Boise State University,Boise,ID,38°/24°,64°/38°,92°/58°,66°/39°,87,206
Purdue University-Main Campus,West Lafayette,IN,35°/17°,64°/39°,86°/63°,66°/42°,120,185
University of Nebraska-Lincoln,Lincoln,NE,35°/14°,64°/39°,89°/66°,66°/40°,86,214
Virginia Polytechnic Institute and State University,Blacksburg,VA,42°/22°,64°/39°,83°/61°,66°/40°,124,215
Brigham Young University-Provo,Provo,UT,39°/21°,64°/39°,93°/62°,67°/40°,90,222
West Virginia University,Morgantown,WV,39°/22°,64°/40°,84°/63°,66°/43°,149,155
Ohio Wesleyan University,Delaware,OH,36°/20°,64°/40°,85°/63°,66°/42°,127,178
Bryn Mawr College,Bryn Mawr,PA,39°/22°,64°/40°,86°/65°,65°/43°,116,201
McDaniel College,Westminster,MD,40°/21°,64°/40°,86°/63°,66°/43°,120,204
Ohio State University-Main Campus,Columbus,OH,37°/21°,64°/41°,85°/64°,66°/43°,130,178
Whitman College,Walla Walla,WA,42°/29°,64°/41°,89°/59°,65°/41°,105,192
Haverford College,Haverford,PA,40°/23°,64°/41°,87°/66°,66°/44°,116,205
Villanova University,Villanova,PA,40°/23°,64°/41°,87°/66°,66°/44°,116,205
La Salle University,Philadelphia,PA,41°/26°,64°/44°,87°/69°,67°/48°,119,207
Saint Joseph's University,Philadelphia,PA,41°/26°,64°/44°,87°/69°,67°/48°,119,207
Widener University,Chester,PA,40°/27°,64°/45°,87°/70°,66°/50°,112,205
Drexel University,Philadelphia,PA,41°/27°,64°/45°,87°/70°,67°/50°,117,205
University of Pennsylvania,Philadelphia,PA,41°/27°,64°/45°,87°/70°,67°/50°,117,205
Swarthmore College,Swarthmore,PA,40°/26°,64°/45°,87°/70°,67°/49°,120,205
St. John's College,Santa Fe,NM,44°/18°,65°/33°,86°/55°,67°/36°,66,283
James Madison University,Harrisonburg,VA,42°/21°,65°/39°,85°/62°,67°/41°,125,169
Ohio University-Main Campus,Athens,OH,38°/21°,65°/39°,84°/62°,66°/40°,115,170
Miami University-Oxford,Oxford,OH,37°/20°,65°/40°,86°/64°,67°/42°,128,181
University of Cincinnati-Main Campus,Cincinnati,OH,39°/22°,65°/42°,86°/65°,67°/44°,121,176
Indiana University-Bloomington,Bloomington,IN,38°/20°,65°/42°,85°/65°,67°/43°,119,184
University of Delaware,Newark,DE,41°/24°,65°/42°,87°/66°,67°/45°,112.5,201
Rose-Hulman Institute of Technology,Terre Haute,IN,37°/20°,65°/43°,87°/65°,67°/43°,115,190
Temple University,Philadelphia,PA,42°/27°,65°/44°,88°/68°,68°/49°,123,205
Washington College,Chestertown,MD,41°/25°,65°/44°,87°/68°,68°/47°,113,211
Rutgers University-Camden,Camden,NJ,42°/27°,65°/45°,87°69°,67°/49°,205,116
Xavier University,Cincinnati,OH,39°/22°,66°/41°,87°/64°,67°/42°,123,179
George Mason University,Fairfax,VA,42°/24°,66°/42°,86°/66°,67°/45°,119,198
Transylvania University,Lexington,KY,41°/24°,66°/43°,86°/66°,68°/45°,119,190
University of Kentucky,Lexington,KY,41°/24°,66°/43°,86°/66°,68°/45°,119.4,190
University of Kansas,Lawrence,KS,39°/18°,66°/43°,89°/68°,68°/44°,91.5,211
University of Missouri-Columbia,Columbia,MO,39°/21°,66°/44°,88°/68°,68°/45°,110,192
Georgetown College,Georgetown,KY,41°/24°,66°/44°,86°/66°,68°/45°,126,193
University of Maryland-College Park,College Park,MD,43°/26°,66°/44°,89°/69°,69°/46°,112,202
St. John's College,Annapolis,MD,43°/28°,66°/46°,87°/70°,68°/51°,110,10
